route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,ct_cardinal_direction
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802230__MCOB-DO:111:6:Sunday:1:24MAR:41043:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41043:1234567,130:112,1,1,E
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802231__MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,130:112,1,1,E
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802232__MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,202:86,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802233__MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,130:116,1,1,W
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802234__MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,"Lynnwood",1,MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,130:112,1,1,E
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802235__MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,202:86,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802236__MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,130:116,1,1,W
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802237__MCOB-DO:111:6:Sunday:1:24MAR:41012:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41012:1234567,113:120,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802238__MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,130:116,1,1,W
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802239__MCOB-DO:111:6:Sunday:1:24MAR:41015:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41015:1234567,113:120,1,1,N
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802240__MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,202:86,1,1,N
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802241__MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,202:86,1,1,N
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802242__MCOB-DO:111:6:Sunday:1:24MAR:41012:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41012:1234567,113:120,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802243__MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,130:116,1,1,W
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802244__MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,202:86,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802245__MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,130:116,1,1,W
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802246__MCOB-DO:111:6:Sunday:1:24MAR:41031:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41031:1234567,113:120,1,1,N
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802247__MCOB-DO:111:6:Sunday:1:24MAR:41031:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41031:1234567,113:120,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802248__MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,130:116,1,1,W
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802249__MCOB-DO:111:6:Sunday:1:24MAR:41036:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41036:1234567,202:86,1,1,N
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802250__MCOB-DO:111:6:Sunday:1:24MAR:41035:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41035:1234567,113:120,1,1,N
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802251__MCOB-DO:111:6:Sunday:1:24MAR:41035:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41035:1234567,113:120,1,1,N
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802252__MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,202:86,1,1,N
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802253__MCOB-DO:111:6:Sunday:1:24MAR:41042:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41042:1234567,113:120,1,1,N
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802254__MCOB-DO:111:6:Sunday:1:24MAR:41014:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41014:1234567,113:120,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802255__MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,130:116,1,1,W
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802256__MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,130:116,1,1,W
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802257__MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41027:1234567,130:116,1,1,W
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802258__MCOB-DO:111:6:Sunday:1:24MAR:41030:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41030:1234567,202:86,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802259__MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,130:116,1,1,W
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802260__MCOB-DO:111:6:Sunday:1:24MAR:41017:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41017:1234567,113:120,1,1,N
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802261__MCOB-DO:111:6:Sunday:1:24MAR:41016:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41016:1234567,202:86,1,1,N
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802262__MCOB-DO:111:6:Sunday:1:24MAR:41011:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41011:1234567,202:86,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802263__MCOB-DO:111:6:Sunday:1:24MAR:41043:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41043:1234567,130:116,1,1,W
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802264__MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,202:86,1,1,N
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802265__MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,202:86,1,1,N
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802266__MCOB-DO:111:6:Sunday:1:24MAR:41004:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41004:1234567,113:120,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802267__MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41003:1234567,130:116,1,1,W
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802268__MCOB-DO:111:6:Sunday:1:24MAR:41004:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41004:1234567,113:120,1,1,N
130,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802269__MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,"Edmonds",0,MCOB-DO:111:6:Sunday:1:24MAR:41008:1234567,130:116,1,1,W
220,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802270__MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,"Arlington",1,MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,220:42,1,1,E
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802271__MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,"Smokey Point",1,MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,202:86,1,1,N
113,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802272__MCOB-DO:111:6:Sunday:1:24MAR:41017:1234567,"Mukilteo",1,MCOB-DO:111:6:Sunday:1:24MAR:41017:1234567,113:120,1,1,N
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802273__MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,202:85,1,1,S
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802274__MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,202:85,1,1,S
220,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802275__MCOB-DO:111:6:Sunday:1:24MAR:31003:1234567,"Arlington",1,MCOB-DO:111:6:Sunday:1:24MAR:31003:1234567,220:42,1,1,E
240,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802276__MCOB-DO:111:6:Sunday:1:24MAR:31003:1234567,"Stanwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31003:1234567,240:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802277__MCOB-DO:111:6:Sunday:1:24MAR:31001:1234567,"Arlington",1,MCOB-DO:111:6:Sunday:1:24MAR:31001:1234567,220:42,1,1,E
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802278__MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,202:85,1,1,S
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802279__MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,202:85,1,1,S
220,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802280__MCOB-DO:111:6:Sunday:1:24MAR:31003:1234567,"Arlington",1,MCOB-DO:111:6:Sunday:1:24MAR:31003:1234567,220:42,1,1,E
240,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802281__MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,"Stanwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,240:49,1,1,W
220,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802282__MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,"Arlington",1,MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,220:42,1,1,E
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802283__MCOB-DO:111:6:Sunday:1:24MAR:41036:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41036:1234567,202:85,1,1,S
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802284__MCOB-DO:111:6:Sunday:1:24MAR:41016:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41016:1234567,202:85,1,1,S
220,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802285__MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,"Arlington",1,MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,220:42,1,1,E
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802286__MCOB-DO:111:6:Sunday:1:24MAR:41030:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41030:1234567,202:85,1,1,S
220,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802287__MCOB-DO:111:6:Sunday:1:24MAR:31001:1234567,"Arlington",1,MCOB-DO:111:6:Sunday:1:24MAR:31001:1234567,220:42,1,1,E
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802288__MCOB-DO:111:6:Sunday:1:24MAR:41011:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41011:1234567,202:85,1,1,S
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802289__MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41020:1234567,202:85,1,1,S
240,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802290__MCOB-DO:111:6:Sunday:1:24MAR:31003:1234567,"Stanwood",0,MCOB-DO:111:6:Sunday:1:24MAR:31003:1234567,240:49,1,1,W
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802291__MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41023:1234567,202:85,1,1,S
202,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802292__MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,"Lynnwood",0,MCOB-DO:111:6:Sunday:1:24MAR:41007:1234567,202:85,1,1,S
220,MCOB-DO:111:6:Sunday:1:24MAR:1234567,11802293__MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,"Arlington",1,MCOB-DO:111:6:Sunday:1:24MAR:31004:1234567,220:42,1,1,E
