stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding																																	   
24244,4030,"Milton Wy & 23rd Ave",,47.250146,-122.304722,,,,,,1
17407,4031,"Milton Wy & 19th Ave",,47.250091,-122.308941,,,,,,1
26550,4032,"Milton Wy & 28th Ave",,47.250111,-122.296903,,,,,,1
6779,4033,"Milton Wy & 23rd Ave",,47.250044,-122.303333,,,,,,1
21455,4034,"28th Ave S & S 373rd St",,47.267110,-122.297960,,,,,,1
23407,4035,"Milton Wy & 28th Ave S",,47.250008,-122.297029,,,,,,1
6258,4036,"28th Ave S & S 370 St",,47.270085,-122.297832,,,,,,1
16281,4038,"28th Ave S & S 366th St",,47.272845,-122.297809,,,,,,1
7092,4039,"28th Ave S & S 373rd St",,47.266932,-122.297782,,,,,,1
355,404,"6th Ave & Steele St",,47.255389,-122.468065,,,,,,1
9712,4040,"28th Ave S & S 353rd St",,47.285070,-122.297687,,,,,,1
23110,4041,"28th Ave S & S 370th St",,47.270628,-122.297699,,,,,,1
14956,4043,"28th Ave S & S 365th Pl",,47.273580,-122.297665,,,,,,1
18440,4044,"Weyerhaeuser Wy S & S 344th Wy",,47.290891,-122.292380,,,,,,1
23717,4046,"Weyerhaeuser Wy S & 33rd Place S",,47.296351,-122.292385,,,,,,1
14272,4047,"28th Ave S & S 353rd St",,47.285420,-122.297533,,,,,,1
8837,4048,"Weyerhaeuser Wy S & 33rd Pl S",,47.299228,-122.295057,,,,,,1
356,405,"6th Ave & Stevens St",,47.255379,-122.495928,,,,,,1
3723,4050,"336th St S & 20th Ave S",,47.300580,-122.305483,,,,,,1
22122,4051,"Weyerhaeuser Wy S & S 344th Way",,47.291912,-122.292148,,,,,,1
5234,4052,"20th Ave S & S 333rd St",,47.302256,-122.307579,,,,,,1
4878,4053,"Weyerhaeuser Wy S & 33rd Place S",,47.296340,-122.292236,,,,,,1
21064,4055,"Weyerhaeuser Wy S & 33rd Pl S",,47.299085,-122.294395,,,,,,1
10667,4056,"20th Ave S & S 19th Place",,47.306561,-122.307587,,,,,,1
4089,4057,"336th St S & 20th Ave S",,47.300674,-122.306462,,,,,,1
21748,4058,"20th Way S & 19th Pl S",,47.309064,-122.310083,,,,,,1
14977,4059,"20th Ave S & S 333rd St",,47.302447,-122.307441,,,,,,1
357,406,"6th Ave & Stevens St",,47.255270,-122.495714,,,,,,1
