stop_id,stop_name,stop_lat,stop_lon,stop_code,wheelchair_boarding
191,BROADWAY & 12TH ST - SB,48.001865,-122.201149,1170,2
192,BROADWAY & 14TH ST - SB,47.998665,-122.201241,1318,2
193,BROADWAY & 16TH ST - SB,47.996082,-122.201294,1180,2
194,BROADWAY & 18TH ST - SB,47.993454,-122.201363,1185,2
195,BROADWAY & 21ST ST - SB,47.989567,-122.201469,1195,2
196,BROADWAY & 23RD ST - SB,47.986774,-122.201530,1235,2
197,BROADWAY & 25TH ST - SB,47.984127,-122.201599,1315,2
198,BROADWAY & CALIFORNIA - SB,47.981003,-122.201614,9973,2
199,EVERETT STATION - F1 - SB,47.974426,-122.197998,2340,2
2,75TH ST SW & SEAWAY BLVD - WB,47.930992,-122.260078,3680,2
20,W MUKILTEO BLVD & DOGWOOD DR - EB,47.956650,-122.231018,3075,2
200,33RD ST & MCDOUGALL AVE - WB,47.974121,-122.199783,2323,2
201,HEWITT AVE & LOMBARD AVE - WB,47.979313,-122.202759,2440,2
202,HEWITT AVE & ROCKEFELLER AVE - WB,47.979332,-122.205528,1355,2
203,HEWITT AVE & WETMORE AVE - WB,47.979370,-122.207748,1375,2
204,HEWITT AVE & HOYT AVE - WB,47.979393,-122.209755,1380,2
205,RUCKER AVE & PACIFIC AVE - SB,47.976086,-122.211510,1410,2
206,RUCKER AVE & 33RD ST - SB,47.973579,-122.211395,1477,2
207,RUCKER AVE & 35TH ST - SB,47.970894,-122.211281,1480,2
208,RUCKER AVE & 37TH ST - SB,47.968689,-122.211182,1525,2
209,RUCKER AVE & 39TH ST - SB,47.965786,-122.211044,1535,2
21,E MUKILTEO BLVD & FOREST PARK DR - EB,47.959896,-122.224930,3035,2
210,RUCKER AVE & 41ST ST - SB,47.962395,-122.210938,3010,2
211,EVERGREEN WAY & 44TH ST SE - SB,47.959042,-122.211395,3270,2
212,EVERGREEN WAY & 47TH ST SE - SB,47.955006,-122.213272,3285,2
213,EVERGREEN WAY & 50TH ST SE - SB,47.951431,-122.213928,3320,2
214,EVERGREEN WAY & 52ND ST SE - SB,47.949139,-122.214790,3650,2
215,EVERGREEN WAY & 57TH ST SE - SB,47.945747,-122.216324,3645,2
216,EVERGREEN WAY & 59TH ST SE - SB,47.944180,-122.217026,3640,2
217,EVERGREEN WAY & PECKS DR - SB,47.940998,-122.217888,3635,2
