route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q48,CS_C4-Weekday,CS_C4-Weekday-060500_Q48_804,FLUSHING MAIN ST STATION,0,35931334,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-062500_MISC_402,FLUSHING MAIN ST STATION,0,35931335,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-064900_Q48_805,FLUSHING MAIN ST STATION,0,35931343,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-066900_Q48_801,FLUSHING MAIN ST STATION,0,35931336,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-152100_MISC_517,LAGUARDIA AIRPORT,1,35931349,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-149000_Q48_806,LAGUARDIA AIRPORT,1,35931346,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-070700_Q48_801,LAGUARDIA AIRPORT,1,35931336,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-072700_Q48_802,LAGUARDIA AIRPORT,1,35931334,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-074700_MISC_402,LAGUARDIA AIRPORT,1,35931335,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-068700_Q48_803,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-072900_Q48_803,FLUSHING MAIN ST STATION,0,35931343,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-074900_Q48_801,FLUSHING MAIN ST STATION,0,35931336,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-076900_Q48_802,FLUSHING MAIN ST STATION,0,35931334,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-068900_Q48_804,FLUSHING MAIN ST STATION,0,35931334,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-070900_MISC_402,FLUSHING MAIN ST STATION,0,35931335,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-076700_Q48_803,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-078700_Q48_804,LAGUARDIA AIRPORT,1,35931336,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-080700_Q48_802,LAGUARDIA AIRPORT,1,35931334,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-078900_MISC_402,FLUSHING MAIN ST STATION,0,35931335,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-080900_Q48_803,FLUSHING MAIN ST STATION,0,35931343,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-082900_Q48_804,FLUSHING MAIN ST STATION,0,35931336,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-084900_Q48_802,FLUSHING MAIN ST STATION,0,35931334,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-146000_MISC_517,LAGUARDIA AIRPORT,1,35931349,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-096700_MISC_470,LAGUARDIA AIRPORT,1,35931439,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-098700_Q48_805,LAGUARDIA AIRPORT,1,35931344,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-100500_MISC_415,LAGUARDIA AIRPORT,1,35931335,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-101400_MISC_470,FLUSHING MAIN ST STATION,0,35931439,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-102000_MISC_438,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-103500_MISC_452,LAGUARDIA AIRPORT,1,35931494,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-106500_MISC_470,LAGUARDIA AIRPORT,1,35931439,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-108000_Q48_805,LAGUARDIA AIRPORT,1,35931344,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-109500_Q48_806,LAGUARDIA AIRPORT,1,35931335,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-105000_MISC_450,LAGUARDIA AIRPORT,1,35931350,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-103400_Q48_805,FLUSHING MAIN ST STATION,0,35931344,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-105200_MISC_415,FLUSHING MAIN ST STATION,0,35931335,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-106700_MISC_438,FLUSHING MAIN ST STATION,0,35931343,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-108200_MISC_452,FLUSHING MAIN ST STATION,0,35931494,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-109700_MISC_450,FLUSHING MAIN ST STATION,0,35931350,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-111000_MISC_491,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-111200_MISC_470,FLUSHING MAIN ST STATION,0,35931439,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-114200_Q48_806,FLUSHING MAIN ST STATION,0,35931335,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-112500_MISC_452,LAGUARDIA AIRPORT,1,35931494,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-114000_MISC_450,LAGUARDIA AIRPORT,1,35931350,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-116000_MISC_470,LAGUARDIA AIRPORT,1,35931439,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-118000_Q48_806,LAGUARDIA AIRPORT,1,35931335,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-120000_MISC_491,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-115700_MISC_491,FLUSHING MAIN ST STATION,0,35931343,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-117200_MISC_452,FLUSHING MAIN ST STATION,0,35931494,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-118300_MISC_450,FLUSHING MAIN ST STATION,0,35931350,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-120300_MISC_470,FLUSHING MAIN ST STATION,0,35931439,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-112700_Q48_805,FLUSHING MAIN ST STATION,0,35931344,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-144100_Q48_806,FLUSHING MAIN ST STATION,0,35931346,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-122000_MISC_498,LAGUARDIA AIRPORT,1,35931348,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-124000_MISC_507,LAGUARDIA AIRPORT,1,35931345,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-126000_Q48_806,LAGUARDIA AIRPORT,1,35931335,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-128000_MISC_491,LAGUARDIA AIRPORT,1,35931343,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-122300_Q48_806,FLUSHING MAIN ST STATION,0,35931335,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-124300_MISC_491,FLUSHING MAIN ST STATION,0,35931343,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-126300_MISC_498,FLUSHING MAIN ST STATION,0,35931348,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-128300_MISC_507,FLUSHING MAIN ST STATION,0,35931345,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-141100_MISC_517,FLUSHING MAIN ST STATION,0,35931349,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-130000_MISC_498,LAGUARDIA AIRPORT,1,35931348,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-134500_MISC_510,LAGUARDIA AIRPORT,1,35931347,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-130300_Q48_806,FLUSHING MAIN ST STATION,0,35931335,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-132300_MISC_491,FLUSHING MAIN ST STATION,0,35931343,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-134300_MISC_498,FLUSHING MAIN ST STATION,0,35931348,Q480040
Q48,CS_C4-Weekday,CS_C4-Weekday-138600_MISC_510,FLUSHING MAIN ST STATION,0,35931347,Q480039
Q48,CS_C4-Weekday,CS_C4-Weekday-137000_MISC_517,LAGUARDIA AIRPORT,1,35931349,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-086700_Q48_804,LAGUARDIA AIRPORT,1,35931336,Q480037
Q48,CS_C4-Weekday,CS_C4-Weekday-082700_MISC_402,LAGUARDIA AIRPORT,1,35931335,Q480037
