route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,drt_advance_book_min,bikes_allowed,peak_offpeak,boarding_type
67,t6D9-b1A2D-sl2,2,To Tri-Lakes,0,6701,41,1,0.0,1,0,0
67,t6D9-b1A2D-sl3,3,To Tri-Lakes,0,6701,41,1,0.0,1,0,0
13,t6DA-b518-sl2,2,To Olympia Transit Center,1,1304,17,1,0.0,1,0,0
620,t6DB-b26AE-sl3,3,To Olympia Transit Center,1,9902,22,1,0.0,1,0,0
68,t6DC-b1A92-sl2,2,To Capital Mall,0,6802,12,1,0.0,1,0,0
68,t6DC-b1A94-sl3,3,To Capital Mall,0,6804,12,1,0.0,1,0,0
622,t6DE-b183C-sl2,2,To Olympia Transit Center,1,6204,19,1,0.0,1,0,0
622,t6DE-b183D-sl3,3,To Olympia Transit Center,1,6205,19,1,0.0,1,0,0
66,t6DE-b19CD-sl2,2,To Olympia Transit Center,1,6605,18,1,0.0,1,0,0
66,t6DE-b19CD-sl3,3,To Olympia Transit Center,1,6605,18,1,0.0,1,0,0
41,t708-b1005-sl3,3,To Evergreen St College,0,4101,1,1,0.0,1,0,0
41,t708-b1006-sl2,2,To Evergreen St College,0,4102,1,1,0.0,1,0,0
21,t708-b1771-sl3,3,To 26th Ave,0,6001,24,1,0.0,1,0,0
47,t708-b1773-sl3,3,To Capital Mall,0,6003,14,1,0.0,1,0,0
21,t708-b1774-sl2,2,To 26th Ave,0,6004,24,1,0.0,1,0,0
47,t708-b1775-sl2,2,To Capital Mall,0,6005,14,1,0.0,1,0,0
622,t708-b183A-sl2,2,To The Meadows,0,6202,11,1,0.0,1,0,0
622,t708-b183B-sl3,3,To The Meadows,0,6203,11,1,0.0,1,0,0
65,t708-b1A93-sl3,3,To 41st Avenue,0,6803,8,1,0.0,1,0,0
65,t708-b1A95-sl2,2,To 41st Avenue,0,6805,8,1,0.0,1,0,0
620,t708-b26AD-sl3,3,To SR 512 Park & Ride,0,9901,30,1,0.0,1,0,0
12,t708-b4B1-sl3,3,To Labor and Industries,0,1201,27,1,0.0,1,0,0
12,t708-b4B2-sl2,2,To Labor and Industries,0,1202,27,1,0.0,1,0,0
13,t708-b517-sl2,2,To Labor and Industries,0,1303,10,1,0.0,1,0,0
41,t70B-b1005-sl2,2,To Olympia Transit Center,1,4101,25,1,0.0,1,0,0
41,t70B-b1006-sl3,3,To Olympia Transit Center,1,4102,25,1,0.0,1,0,0
620,t70B-b26B0-sl2,2,To Olympia Transit Center,1,9904,22,1,0.0,1,0,0
94,t70C-b24BC-sl3,3,To Olympia Transit Center,1,9404,31,1,0.0,1,0,0
94,t70C-b24BD-sl2,2,To Olympia Transit Center,1,9405,31,1,0.0,1,0,0
45,t70E-b1195-sl2,2,To Olympia Transit Center,1,4501,16,1,0.0,1,0,0
45,t70E-b1195-sl3,3,To Olympia Transit Center,1,4501,16,1,0.0,1,0,0
60,t70F-b1772-sl3,3,To Olympia Transit Center,1,6002,4,1,0.0,1,0,0
60,t70F-b1773-sl2,2,To Olympia Transit Center,1,6003,4,1,0.0,1,0,0
47,t710-b1771-sl2,2,To Olympia Transit Center,1,6001,28,1,0.0,1,0,0
621,t711-b183E-sl2,2,To Olympia Transit Center,1,6206,20,1,0.0,1,0,0
621,t711-b183E-sl3,3,To Olympia Transit Center,1,6206,20,1,0.0,1,0,0
13,t711-b515-sl2,2,To Olympia Transit Center,1,1301,17,1,0.0,1,0,0
13,t711-b516-sl3,3,To Olympia Transit Center,1,1302,17,1,0.0,1,0,0
68,t712-b1A95-sl3,3,To Lacey Transit Center,1,6805,35,1,0.0,1,0,0
68,t712-b1A97-sl2,2,To Lacey Transit Center,1,6807,35,1,0.0,1,0,0
620,t712-b26C1-sl2,2,To SR 512 Park & Ride,0,9921,30,1,0.0,1,0,0
42,t713-b1069-sl2,2,To Family Court,0,4201,42,1,0.0,1,0,0
48,t713-b19CB-sl3,3,To Olympia Transit Center,1,6603,13,1,0.0,1,0,0
48,t713-b19CC-sl2,2,To Olympia Transit Center,1,6604,13,1,0.0,1,0,0
21,t714-b1771-sl3,3,To Olympia Transit Center,1,6001,5,1,0.0,1,0,0
21,t714-b1774-sl2,2,To Olympia Transit Center,1,6004,5,1,0.0,1,0,0
12,t714-b4B2-sl3,3,To Olympia Transit Center,1,1202,26,1,0.0,1,0,0
12,t714-b4B3-sl2,2,To Olympia Transit Center,1,1203,26,1,0.0,1,0,0
45,t717-b1197-sl2,2,To Capital Mall,0,4503,6,1,0.0,1,0,0
64,t717-b1198-sl2,2,To Amtrak Station,0,4504,33,1,0.0,1,0,0
64,t717-b1901-sl3,3,To Amtrak Station,0,6401,33,1,0.0,1,0,0
48,t717-b19C9-sl3,3,To Evergreen St College,0,6601,32,1,0.0,1,0,0
66,t717-b19CA-sl2,2,To Lacey Corporate Center,0,6602,9,1,0.0,1,0,0
66,t717-b19CA-sl3,3,To Lacey Corporate Center,0,6602,9,1,0.0,1,0,0
48,t717-b19CB-sl2,2,To Evergreen St College,0,6603,32,1,0.0,1,0,0
67,t717-b1A2D-sl2,2,To Lacey Transit Center,1,6701,2,1,0.0,1,0,0
67,t717-b1A2D-sl3,3,To Lacey Transit Center,1,6701,2,1,0.0,1,0,0
94,t717-b24BC-sl2,2,To Yelm Walmart,0,9404,3,1,0.0,1,0,0
