shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
990005:99913,5861,47.613510,-122.325798,36728.87
990005:99913,5862,47.613476,-122.326225,36836.27
990005:99913,5863,47.613464,-122.326698,36951.57
990005:99913,5864,47.613476,-122.327209,37078.57
990005:99913,5865,47.613510,-122.327614,37180.47
990005:99913,5866,47.613560,-122.328079,37295.57
990005:99913,5867,47.613647,-122.328583,37423.47
990005:99913,5868,47.613762,-122.329048,37546.77
990005:99913,5869,47.613865,-122.329491,37660.17
990005:99913,5870,47.613926,-122.329788,37737.87
990005:99913,5871,47.613972,-122.330078,37811.07
990005:99913,5872,47.613979,-122.330276,37860.07
990005:99913,5873,47.613979,-122.330513,37919.07
990005:99913,5874,47.613968,-122.330742,37977.07
990005:99913,5875,47.613937,-122.331001,38038.97
990005:99913,5876,47.613876,-122.331291,38113.17
990005:99913,5877,47.613827,-122.331497,38168.37
990005:99913,5878,47.613762,-122.331703,38225.27
990005:99913,5879,47.613705,-122.331848,38264.97
990005:99913,5880,47.613327,-122.332726,38523.17
990005:99913,5881,47.613148,-122.333160,38648.67
990005:99913,5882,47.612614,-122.334419,39015.77
990005:99913,5883,47.612480,-122.334854,39132.67
990005:99913,5884,47.611950,-122.336128,39502.27
990005:99913,5885,47.611389,-122.337479,39892.47
990005:99913,5886,47.611343,-122.337585,39923.17
990005:99913,5887,47.611122,-122.337944,40042.37
990005:99913,5888,47.611103,-122.337967,40052.47
990005:99913,5889,47.611008,-122.338173,40113.27
990005:99913,5890,47.610912,-122.338295,40161.47
990005:99913,5891,47.610836,-122.338394,40197.17
990005:99913,5892,47.610767,-122.338448,40224.27
990005:99913,5893,47.610691,-122.338478,40253.27
990005:99913,5894,47.610599,-122.338486,40286.07
990005:99913,5895,47.610516,-122.338486,40319.77
990005:99913,5896,47.610390,-122.338448,40363.87
990005:99913,5897,47.610264,-122.338379,40412.27
990005:99913,5898,47.610180,-122.338326,40448.07
990005:99913,5899,47.608345,-122.336647,41235.07
990005:99913,5900,47.607639,-122.336006,41537.37
990005:99913,5901,47.607388,-122.335770,41646.17
990005:99913,5902,47.607284,-122.335678,41689.87
990005:99913,5903,47.607014,-122.335419,41806.97
990005:99913,5904,47.606300,-122.334763,42112.77
990005:99913,5905,47.604874,-122.333466,42724.77
990005:99913,5906,47.604157,-122.332809,43030.77
990005:99913,5907,47.603447,-122.332153,43336.67
990005:99913,5908,47.603294,-122.332016,43402.47
990005:99913,5909,47.602737,-122.331497,43643.17
990005:99913,5910,47.602181,-122.330978,43882.47
990005:99913,5911,47.602051,-122.330864,43936.47
990005:99913,5912,47.601936,-122.330757,43987.97
990005:99913,5913,47.601833,-122.330635,44035.37
990005:99913,5914,47.601719,-122.330460,44094.27
990005:99913,5915,47.601585,-122.330269,44162.17
990005:99913,5916,47.601494,-122.330132,44209.67
990005:99913,5917,47.600929,-122.329308,44500.97
990005:99913,5918,47.600639,-122.328888,44646.27
990005:99913,5919,47.600346,-122.328491,44794.87
990005:99913,5920,47.600227,-122.328339,44849.17
990005:99913,5921,47.600117,-122.328247,44895.27
990005:99913,5922,47.599960,-122.328148,44958.57
990005:99913,5923,47.599716,-122.328079,45049.47
990005:99913,5924,47.598938,-122.328064,45333.07
990005:99913,5925,47.597664,-122.328110,45798.07
990005:99913,5926,47.597576,-122.328125,45829.27
990005:99913,5927,47.597477,-122.328163,45867.17
990005:99913,5928,47.597393,-122.328201,45898.27
990005:99913,5929,47.597317,-122.328217,45926.07
990005:99913,5930,47.597240,-122.328232,45954.87
990005:99913,5931,47.596600,-122.328217,46186.97
990005:99913,5932,47.596569,-122.328217,46198.87
990005:99913,5933,47.596539,-122.328217,46210.97
990005:99913,5934,47.595852,-122.328201,46460.17
990005:99913,5935,47.595814,-122.328201,46475.17
990005:99913,5936,47.595730,-122.328201,46505.17
990005:99913,5937,47.595650,-122.328186,46534.67
990005:99913,5938,47.595573,-122.328186,46563.67
990005:99913,5939,47.595493,-122.328178,46592.77
990005:99913,5940,47.595428,-122.328163,46614.57
990005:99913,5941,47.595375,-122.328148,46636.37
990005:99913,5942,47.595314,-122.328133,46658.27
990005:99913,5943,47.595257,-122.328125,46680.07
990005:99913,5944,47.595200,-122.328110,46701.87
990005:99913,5945,47.595120,-122.328079,46731.87
990005:99913,5946,47.595036,-122.328056,46761.77
990005:99913,5947,47.594879,-122.327995,46821.77
990005:99913,5948,47.593941,-122.327644,47175.37
990005:99913,5949,47.593174,-122.327354,47463.07
990005:99913,5950,47.593090,-122.327316,47494.87
990005:99913,5951,47.593033,-122.327301,47516.17
990005:99913,5952,47.592976,-122.327286,47537.67
990005:99913,5953,47.592915,-122.327271,47559.17
990005:99913,5954,47.592842,-122.327263,47586.07
990005:99913,5955,47.592770,-122.327263,47612.77
990005:99913,5956,47.592567,-122.327248,47687.07
990005:99913,5957,47.591824,-122.327248,47956.87
990005:99913,5958,47.590309,-122.327263,48509.37
990005:99913,5959,47.589726,-122.327263,48723.37
990005:99913,5960,47.589603,-122.327263,48768.37
990005:99913,5961,47.589478,-122.327271,48813.47
990005:99913,5962,47.589374,-122.327286,48851.87
990005:99913,5963,47.589253,-122.327301,48896.87
990005:99913,5964,47.589016,-122.327354,48982.57
990005:99913,5965,47.588894,-122.327385,49027.57
990005:99913,5966,47.588806,-122.327400,49061.27
990005:99913,5967,47.588692,-122.327408,49101.97
990005:99913,5968,47.588390,-122.327408,49212.37
990005:99913,5969,47.588215,-122.327408,49276.67
990005:99913,5970,47.587910,-122.327408,49386.67
990005:99913,5971,47.579945,-122.327423,52292.77
990005:99913,5972,47.578522,-122.327423,52811.67
990005:99913,5973,47.578453,-122.327423,52838.37
990005:99913,5974,47.578377,-122.327423,52864.97
990005:99913,5975,47.578319,-122.327408,52884.97
990005:99913,5976,47.578270,-122.327408,52904.97
990005:99913,5977,47.578213,-122.327400,52924.97
990005:99913,5978,47.578163,-122.327370,52943.77
990005:99913,5979,47.578136,-122.327354,52953.97
990005:99913,5980,47.578110,-122.327339,52964.07
990005:99913,5981,47.578079,-122.327332,52974.17
990005:99913,5982,47.578060,-122.327316,52984.17
990005:99913,5983,47.578030,-122.327301,52994.27
990005:99913,5984,47.578011,-122.327286,53004.37
990005:99913,5985,47.577984,-122.327263,53014.47
990005:99913,5986,47.577961,-122.327248,53024.57
990005:99913,5987,47.577942,-122.327217,53034.57
990005:99913,5988,47.577915,-122.327194,53044.67
990005:99913,5989,47.577896,-122.327164,53054.77
990005:99913,5990,47.577877,-122.327141,53064.87
990005:99913,5991,47.577850,-122.327110,53074.87
990005:99913,5992,47.577835,-122.327080,53084.97
990005:99913,5993,47.577816,-122.327057,53095.07
990005:99913,5994,47.577801,-122.327026,53105.17
990005:99913,5995,47.577785,-122.326988,53115.17
990005:99913,5996,47.577763,-122.326958,53125.27
990005:99913,5997,47.577743,-122.326920,53135.37
990005:99913,5998,47.577732,-122.326889,53145.47
990005:99913,5999,47.577721,-122.326851,53155.47
990005:99913,6000,47.577713,-122.326820,53165.57
990005:99913,6001,47.577694,-122.326782,53175.67
990005:99913,6002,47.577686,-122.326744,53185.77
990005:99913,6003,47.577679,-122.326714,53192.47
990005:99913,6004,47.577671,-122.326691,53202.57
990005:99913,6005,47.577656,-122.326630,53215.97
990005:99913,6006,47.577652,-122.326576,53229.27
990005:99913,6007,47.577637,-122.326523,53242.67
990005:99913,6008,47.577629,-122.326469,53255.97
990005:99913,6009,47.577625,-122.326416,53269.27
990005:99913,6010,47.577621,-122.326317,53295.97
990005:99913,6011,47.577591,-122.325966,53381.77
990005:99913,6012,47.577557,-122.325455,53507.37
990005:99913,6013,47.577537,-122.325050,53609.17
990005:99913,6014,47.577477,-122.324242,53809.67
990005:99913,6015,47.577461,-122.323997,53871.37
990005:99913,6016,47.577454,-122.323753,53931.27
990005:99913,6017,47.577450,-122.323463,54001.67
990005:99913,6018,47.577450,-122.323204,54065.67
990005:99913,6019,47.577450,-122.322792,54167.47
990005:99913,6020,47.577461,-122.321152,54572.27
990005:99913,6021,47.577457,-122.320869,54642.47
990005:99913,6022,47.577446,-122.320625,54703.27
990005:99913,6023,47.577412,-122.320366,54768.77
990005:99913,6024,47.577354,-122.319832,54900.37
990005:99913,6025,47.577228,-122.318817,55155.47
990005:99913,6026,47.577210,-122.318558,55220.07
990005:99913,6027,47.577190,-122.318329,55278.77
990005:99913,6028,47.577190,-122.318024,55350.67
990005:99913,6029,47.577206,-122.317741,55422.57
990005:99913,6030,47.577232,-122.317451,55494.47
990005:99913,6031,47.577270,-122.317169,55566.47
990005:99913,6032,47.577312,-122.316963,55618.77
990005:99913,6033,47.577358,-122.316757,55671.07
990005:99913,6034,47.577404,-122.316566,55723.37
