route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B42,EN_C4-Saturday,EN_C4-Saturday-022000_B42_501,CANARSIE PIER,1,36166930,B420005
Q56,EN_C4-Saturday,EN_C4-Saturday-022000_Q24_402,JAMAICA 170 ST via JAMAICA AV,0,36167083,Q560002
B15,EN_C4-Saturday,EN_C4-Saturday-022500_B15_103,BED-STUY WOODHULL HOSPITAL,1,36167149,B150031
B12,EN_C4-Saturday,EN_C4-Saturday-023000_B12_2,EAST NEW YORK ALABAMA AV,0,36167107,B120019
B42,EN_C4-Saturday,EN_C4-Saturday-023000_B42_501,ROCKAWAY PKY STA,0,36166930,B421036
B15,EN_C4-Saturday,EN_C4-Saturday-023200_B12_3,JFK AIRPORT,0,36167204,B150033
B12,EN_C4-Saturday,EN_C4-Saturday-023500_B12_4,LEFFERTS GARDENS OCEAN AV,1,36167115,B120015
B82,EN_C4-Saturday,EN_C4-Saturday-023500_B82_603,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166936,B820069
B17,EN_C4-Saturday,EN_C4-Saturday-024000_B17_751,CANARSIE SEAVIEW AV,1,36166827,B170092
B42,EN_C4-Saturday,EN_C4-Saturday-024000_B42_502,CANARSIE PIER,1,36166931,B420005
Q56,EN_C4-Saturday,EN_C4-Saturday-024000_Q56_451,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,36167106,Q560014
B15,EN_C4-Saturday,EN_C4-Saturday-024400_B15_104,BED-STUY WOODHULL HOSPITAL,1,36167141,B150031
B15,EN_C4-Saturday,EN_C4-Saturday-024400_Q24_403,JFK AIRPORT,0,36167125,B150033
Q24,EN_C4-Saturday,EN_C4-Saturday-024800_Q24_401,JAMAICA 168 ST via ATLANTIC,0,36167082,Q240242
Q56,EN_C4-Saturday,EN_C4-Saturday-025000_B15_109,JAMAICA 170 ST via JAMAICA AV,0,36167099,Q560002
B42,EN_C4-Saturday,EN_C4-Saturday-025000_B42_502,ROCKAWAY PKY STA,0,36166931,B421036
B15,EN_C4-Saturday,EN_C4-Saturday-025400_B83_301,JFK AIRPORT,0,36167210,B150033
B14,EN_C4-Saturday,EN_C4-Saturday-025700_B14_701,SPRING CREEK STANLEY AV POSTAL FAC,0,36166846,B140022
B25,EN_C4-Saturday,EN_C4-Saturday-025700_B25_201,DOWNTOWN BKLYN FRONT ST via FULTON,1,36167063,B250031
B15,EN_C4-Saturday,EN_C4-Saturday-025900_B15_105,BED-STUY WOODHULL HOSPITAL,1,36167147,B150031
B42,EN_C4-Saturday,EN_C4-Saturday-026000_B42_502,CANARSIE PIER,1,36166931,B420005
